city_name,longitude,latitude,max_temp,humidity,cloudiness,wind_speed,country,city_date
Saint-Philippe,55.77,-21.36,302.15,66,95,9.3,RE,1586763944
Pangkalanbuun,111.62,-2.68,300.74,85,100,1.54,ID,1586763945
Malibu,-118.81,34.01,288.15,93,75,2.6,US,1586763946
Udachny,112.4,66.42,273.15,87,0,3.0,RU,1586763946
North Bend,-124.22,43.41,278.71,93,1,3.59,US,1586763947
Bambous Virieux,57.76,-20.34,300.37,94,75,1.5,MU,1586763948
Dunedin,170.5,-45.87,279.82,73,30,1.34,NZ,1586763904
Esperance,121.9,-33.87,295.15,64,90,5.7,AU,1586763716
Souillac,57.52,-20.52,300.37,94,75,1.5,MU,1586763951
Butaritari,172.79,3.07,301.9,79,100,6.45,KI,1586763952
Avarua,-159.78,-21.21,299.15,88,95,2.6,CK,1586763952
Eilat,34.95,29.56,293.15,45,0,7.2,IL,1586763688
East London,27.91,-33.02,293.15,60,0,1.5,ZA,1586763954
Miramar,-80.23,25.99,300.93,78,40,5.7,US,1586763954
Tiksi,128.87,71.69,257.17,90,100,8.14,RU,1586763681
Killybegs,-8.45,54.63,278.71,86,20,2.6,IE,1586763956
Guarapari,-40.5,-20.67,296.15,78,90,4.6,BR,1586763956
Cherskiy,161.3,68.75,253.71,87,0,1.64,RU,1586763957
Jérémie,-74.12,18.65,298.75,78,0,1.77,HT,1586763958
Bengkulu,102.27,-3.8,302.26,71,62,2.15,ID,1586763958
Tilichiki,166.1,60.47,259.06,89,0,3.05,RU,1586763959
Kaeo,173.78,-35.1,289.26,84,8,1.79,NZ,1586763960
Dhārchula,80.53,29.85,301.47,13,0,3.05,IN,1586763961
Grindavik,-22.43,63.84,280.15,100,90,13.4,IS,1586763961
Necochea,-58.74,-38.55,287.04,99,100,1.37,AR,1586763663
Labis,103.02,2.38,302.38,81,98,2.43,MY,1586763963
Pevek,170.31,69.7,259.75,95,99,1.53,RU,1586763963
Mastung,66.84,29.8,299.11,9,93,2.72,PK,1586763964
Novopetrovskoye,36.47,55.99,282.15,31,100,5.0,RU,1586763965
Faanui,-151.75,-16.48,301.32,74,100,5.21,PF,1586763715
Mitsamiouli,43.28,-11.38,305.15,70,75,3.6,KM,1586763966
Mindelo,-24.98,16.89,294.15,83,20,7.2,CV,1586763967
Ilulissat,-51.1,69.22,274.15,86,68,2.1,GL,1586763672
Agia Marina,23.53,37.75,292.59,42,20,0.3,GR,1586763968
Krasnosel'kup,82.47,65.7,275.24,99,100,4.03,RU,1586763681
Airai,125.41,-8.93,292.05,75,89,0.59,TL,1586763969
Ankola,74.3,14.67,304.78,56,30,3.74,IN,1586763970
Fortuna,-124.16,40.6,281.48,100,1,1.5,US,1586763971
Nuuk,-51.72,64.18,272.15,100,100,8.7,GL,1586763672
Banyo,11.82,6.75,300.13,41,65,0.82,CM,1586763972
Iskateley,53.15,67.68,269.83,96,71,4.42,RU,1586763973
Husavik,-17.34,66.04,280.15,85,20,23.7,IS,1586763974
Bethel,-73.41,41.37,287.04,93,90,5.1,US,1586763763
Bluff,168.33,-46.6,277.04,91,96,2.68,NZ,1586763975
